Comuna,Población 2024,Índice Masculinidad 2024,Grupo_Etario_0_a_14_2024_(%),Grupo_Etario_15_a_29_2024_(%),Grupo_Etario_30_a_44_2024_(%),Grupo_Etario_45_a_64_2024_(%),Grupo_Etario_65_o_mas_2024_(%),IDD 2024,IAM 2024,Pobreza por ingresos 2022 (%),Pobreza multidimensional 2022 (%),Pueblos indígenas 2025 (%),Extranjeros 2025 (%),Carentes servicios básicos 2025 (%),Hogares hacinados 2025 (%),Cantidad de: Atención Remota 2025,Cantidad de: Centro Comunitario de Salud Familiar (CECOSF) 2025,Cantidad de: Centro Comunitario de Salud Mental  (COSAM) 2025,Cantidad de: Centro Corporación para la Nutrición Infantil (CONIN) 2025,Cantidad de: Centro de Apoyo Comunitario para Personas con Demencia 2025,Cantidad de: Centro Diagnóstico Terapéutico y Tratamiento Privado (CDT) 2025,Cantidad de: Centro de Diálisis 2025,Cantidad de: Centro de Especialidad 2025,Cantidad de: Centro de Referencia de Salud (CRS) 2025,Cantidad de: Centro de Regulación Médica de las Urgencias (SAMU) 2025,Cantidad de: Centro de Rehabilitación 2025,Cantidad de: Centro de Salud de Atención Cerrada para Personas Privadas de Libertad 2025,Cantidad de: Centro de Salud Familiar (CESFAM) 2025,Cantidad de: Centro de Salud Mental 2025,Cantidad de: Centro de Salud Privado 2025,Cantidad de: Centro de Salud Público 2025,Cantidad de: Centro de Tratamiento de Adicciones (CTA) 2025,Cantidad de: Clínica 2025,Cantidad de: Clínica Dental 2025,Cantidad de: Clínica Dental Móvil 2025,Cantidad de: Consultorio General Rural (CGR) 2025,Cantidad de: Consultorio General Urbano  (CGU) 2025,Cantidad de: Dirección Servicio de Salud 2025,Cantidad de: Dispositivo Incorporado por Crisis Sanitaria 2025,Cantidad de: Estación Médica Rural (EMR) 2025,Cantidad de: Hospital 2025,Cantidad de: Hospital de Dia Adulto 2025,Cantidad de: Hospital de Día Infanto Adolescente 2025,Cantidad de: Laboratorio Clínico 2025,Cantidad de: Oficina Sanitaria 2025,Cantidad de: Policlínico Funcionarios (Minería) 2025,Cantidad de: Posta de Salud Rural (PSR) 2025,Cantidad de: Programa de Reparación y Atención Integral de Salud (PRAIS) 2025,Cantidad de: Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria 2025,Cantidad de: Sala  Externa de Toma de Muestras (SETM) 2025,Cantidad de: Salud Ambiental 2025,Cantidad de: Servicio de Atención Primaria de Urgencia (SAPU) 2025,Cantidad de: Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR) 2025,Cantidad de: Servicio de Urgencia Rural (SUR) 2025,Cantidad de: Unidad de Atención Primaria Oftalmológica (UAPO) 2025,Cantidad de: Unidad de Procedimientos Móvil 2025,Cantidad de: Unidad de Salud Funcionarios 2025,Cantidad de: Vacunatorio 2025,Fecundidad 2022,Natalidad 2022,Mortalidad General 2022 (c/1.000 hab),Mortalidad Infantil 2022 (c/1.000 nac.vivos),Matrícula Municipal 2024,Matrícula Subvencionada 2024,Matrícula Particular Pagado 2024,Matrícula Corporación Admin Delegada 2024,Matrícula Servicio Local Educación 2024,Matrícula_Educación_Parvularia_2024,Matrícula_Enseñanza_Básica_Niños_2024,Matrícula_Educación_Básica_Adultos_2024,Matrícula_Educación_Especial_2024,Matrícula_Enseñanza_Media_Humanístico-Científica_Jóvenes_2024,Matrícula_Educación_Media_Humanístico-Científica_Adultos_2024,Matrícula_Enseñanza_Media_Técnico_Profesional_y_Artística_Jóvenes_2024,Matrícula_Educación_Media_Técnico_Profesional_y_Artística_Adultos_2024,SIMCE 4to Básico Lectura 2022,SIMCE 4to Básico Matemáticas 2022,Empresas_Micro_2023,Empresas_Pequeña_2023,Empresas_Mediana_2023,Empresas_Grande_2023,Empresas_Sin_Ventas_Sin_Información_2023,Trabajadores_Micro_2023,Trabajadores_Pequeña_2023,Trabajadores_Mediana_2023,Trabajadores_Grande_2023,Trabajadores_Sin_Ventas_Sin_Información_2023,Empresas_Agricultura_Ganadería_2023,Empresas_Minería_2023,Empresas_Industria_Manufacturera_2023,Empresas_Suministro_Electricidad_2023,Empresas_Suministro_Agua_2023,Empresas_Construcción_2023,Empresas_Comercio_2023,Empresas_Transporte_2023,Empresas_Alojamiento_Comidas_2023,Empresas_Información_Comunicaciones_2023,Empresas_Financieras_Seguros_2023,Empresas_Inmobiliarias_2023,Empresas_Profesionales_Científicas_2023,Empresas_Servicios_Administrativos_2023,Empresas_Administración_Pública_2023,Empresas_Enseñanza_2023,Empresas_Salud_2023,Empresas_Artísticas_Entretenimiento_2023,Empresas_Otras_Actividades_2023,Empresas_Hogares_Empleadores_2023,Empresas_Organizaciones_Extraterritoriales_2023,Empresas_Sin_Información_2023,Trabajadores_Agricultura_Ganadería_2023,Trabajadores_Minería_2023,Trabajadores_Industria_Manufacturera_2023,Trabajadores_Suministro_Electricidad_2023,Trabajadores_Suministro_Agua_2023,Trabajadores_Construcción_2023,Trabajadores_Comercio_2023,Trabajadores_Transporte_2023,Trabajadores_Alojamiento_Comidas_2023,Trabajadores_Información_Comunicaciones_2023,Trabajadores_Financieras_Seguros_2023,Trabajadores_Inmobiliarias_2023,Trabajadores_Profesionales_Científicas_2023,Trabajadores_Servicios_Administrativos_2023,Trabajadores_Administración_Pública_2023,Trabajadores_Enseñanza_2023,Trabajadores_Salud_2023,Trabajadores_Artísticas_Entretenimiento_2023,Trabajadores_Otras_Actividades_2023,Trabajadores_Hogares_Empleadores_2023,Trabajadores_Organizaciones_Extraterritoriales_2023,Trabajadores_Sin_Información_2023,Disponibilidad_Presupuestaria_por_Habitante_2023_(M$),Delitos Mayor Connotación Social 2023 (c/100.000 hab),Violencia Intrafamiliar 2023 (c/100.000 hab)
Alhué,7768,98.9,20.7,20,23.3,23,13,51,62.8,9.6,29.1,3,9.1,14.6,7.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2.1,16.7,6.7,-,1545,0,0,0,0,210,974,0,0,275,0,51,0,282,255,282,84,12,2,93,142,800,406,1486,2,103,5,26,3,6,17,135,52,58,3,2,4,11,23,1,0,5,3,16,0,0,0,574,1081,139,0,16,32,125,147,81,1,1,0,6,145,472,0,5,0,11,0,0,0,2724,1947.6,929.2
Buin,116969,93.6,21.3,19.6,26.5,22.2,10.4,46.4,48.7,4.4,19.1,4.5,4.4,9.1,8.6,0,2,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,2,0,0,0,1,1.6,13.1,6,4,10148,9050,4595,0,0,2235,13050,125,1879,4986,472,1015,125,275,261,4981,1265,137,47,1612,3914,11949,4899,14294,763,698,17,646,13,36,582,2780,963,395,121,146,160,349,337,1,107,205,101,368,0,0,17,7106,205,7390,4,140,2296,8182,1171,808,146,72,168,902,2510,272,1614,1788,602,433,0,0,10,341,1982.5,459.4
Calera de Tango,25491,97.9,18,21.1,20.7,26.7,13.5,46,74.8,3.5,18.6,3.1,3.5,15.2,9.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.2,9.3,5.5,11,2104,1375,1999,0,0,586,3270,29,257,1185,145,58,0,280,270,1195,369,47,16,463,1512,2306,968,1554,276,176,3,183,2,24,144,605,313,99,19,86,79,92,70,1,25,41,25,99,0,0,4,1231,0,655,0,41,633,971,799,342,9,9,36,165,215,156,492,70,10,778,0,0,4,487,2044.1,548.2
Cerrillos,85041,94,18.7,21.7,22.9,23.7,13,46.3,69.7,5.2,22.6,6.4,11,11.3,9.1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.1,8.8,6.4,6.3,3735,9503,0,0,0,1239,7916,50,1022,2109,68,722,141,270,254,2695,912,153,99,880,2816,5267,5851,24474,970,22,7,617,3,20,377,1744,745,171,88,88,96,188,201,2,48,48,42,216,0,0,16,330,668,13214,1,420,6475,7251,3620,1135,188,190,127,609,950,1359,947,1179,39,645,0,0,31,335,3434.2,682.0
Cerro Navia,127250,96,17.6,21.6,20.6,25.4,14.7,47.7,83.8,6.0,23.0,9.3,9.1,11.6,10.6,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1.5,11.3,8.3,3.1,0,10597,0,0,6453,2159,10816,122,1261,1721,533,618,0,267,257,3502,677,56,15,911,1228,5190,7103,773,721,13,1,537,7,15,485,2350,684,258,41,15,46,104,158,1,46,44,38,311,0,0,7,97,12,1139,22,9,1391,1701,658,377,73,1,12,102,1508,1321,1312,4044,25,1210,0,0,1,286,3053.7,675.3
Colina,173293,100.6,23.8,20.8,24.8,22.9,7.6,45.8,32.1,5.1,24.6,5,10.7,10.9,9.0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,1,1.5,11.9,3.7,6.6,12515,15689,14154,0,0,4870,23763,532,2217,9402,1068,1265,50,295,284,6036,2099,326,175,2173,2888,12265,10201,26574,1898,355,28,688,25,54,806,3220,865,430,217,587,531,887,612,2,174,531,147,612,0,0,38,3101,3625,7689,19,549,7096,8215,2624,1654,673,212,326,1546,6402,267,7707,728,409,972,0,0,12,416,1770.8,393.2
Conchalí,121587,94.6,16.5,20.9,21.2,25.6,15.8,47.9,95.7,6.1,18.7,5.4,12.7,8.5,9.0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.2,8.4,8,4.3,7620,13090,209,0,0,2450,13297,96,1441,2465,677,753,0,272,261,3859,1019,147,104,1202,1496,6715,4554,26825,982,32,6,688,10,24,511,2427,899,316,90,121,120,244,307,3,66,46,50,356,0,0,15,28,116,6763,5,52,6709,10534,1192,986,304,223,148,641,10692,501,1389,63,25,200,0,0,1,377,2667.7,523.1
Curacaví,35165,96,18.4,19.5,21.4,25.7,15.1,50.3,82.2,6.0,25.8,3.6,3.5,16.4,7.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,9.8,6.6,-,2655,4414,366,0,0,710,4312,45,278,1652,234,236,0,270,259,1858,439,58,15,601,2004,2937,1664,2399,631,358,8,230,2,18,212,982,273,161,33,135,99,122,97,1,37,53,25,116,0,0,9,3037,14,517,3,32,984,625,334,842,28,55,96,98,597,753,596,484,5,531,0,0,4,289,2283.2,581.2
El Bosque,155257,95.2,17.7,21.7,21,24.2,15.5,49.7,87.4,6.2,17.5,7.7,5.1,5.9,8.9,0,2,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1.2,8.7,6.7,5.4,5985,28739,767,0,0,3150,20398,119,3188,6796,1059,1120,0,276,265,4561,911,93,24,1288,1740,5740,6874,9064,12502,26,7,781,7,24,703,2866,889,326,104,27,73,206,217,4,117,66,73,344,0,1,16,20,8,3042,9,203,2566,1826,1472,314,104,6,83,426,7750,14749,2693,75,46,460,0,0,68,221,2521.0,561.7
El Monte,37497,95.8,20.1,20.3,22.1,24.2,13.4,50.2,66.6,7.1,23.0,5.7,2.6,12.7,8.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3,10.2,5.5,9.5,2207,3907,0,0,0,623,4031,33,645,525,266,84,0,275,260,1275,336,32,13,380,544,2114,867,443,2101,239,2,207,3,13,152,720,260,87,20,43,34,54,52,1,28,24,23,69,0,0,5,1161,11,391,0,11,617,767,341,143,18,3,32,92,124,1483,808,18,12,35,0,0,2,257,1754.6,549.3
Estación Central,181049,95.9,17.2,24.1,27.7,20.4,10.7,38.6,61.9,5.0,22.8,4.2,30.9,14.1,9.6,0,1,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.2,10.6,4.7,6.5,8681,14949,1711,731,0,2999,15233,126,1201,4561,763,1274,0,275,257,5361,1473,251,115,1820,2658,12454,12796,43879,2166,51,6,817,9,34,512,3622,997,465,153,159,315,385,443,2,114,168,72,650,0,1,45,332,157,5594,59,212,4099,10438,23513,2245,698,196,288,663,5034,2382,8200,8020,79,1377,0,3,364,195,3381.7,463.7
Huechuraba,101808,94.6,19.1,22,21.1,26.6,11.3,43.6,58.9,4.3,18.6,7,6.4,7.6,8.8,0,1,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.1,8.4,5.5,7.2,3439,4724,6810,0,0,1716,9039,70,619,3103,335,206,0,285,274,4273,1696,504,477,1629,1951,13235,22290,275170,984,124,18,490,41,22,638,2371,712,342,302,672,609,808,483,4,107,228,93,487,0,0,28,13091,2578,10497,638,293,41305,61186,34110,42617,16518,3273,2075,6885,69578,2234,1910,744,350,3679,0,0,69,454,2357.9,475.0
Independencia,116943,94.8,17.5,22.8,28.1,20.6,11,39.8,62.7,5.8,22.4,2.1,41.2,6.2,9.6,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,1.1,9.7,6.7,9,5791,12708,949,0,0,2308,11550,39,432,4405,357,549,0,276,264,3605,1280,217,58,1253,3338,15373,8061,15407,3635,32,2,725,14,29,379,2568,573,398,97,94,190,282,219,2,82,137,82,473,1,0,34,137,0,4324,40,504,4088,8566,1212,992,2185,45,167,808,3437,2979,1363,8984,1040,4728,0,0,215,184,2043.3,365.2
Isla de Maipo,39274,97.6,19.1,20.4,22.2,25.2,13.1,47.6,68.6,6.4,22.9,4.5,2.5,14.9,8.9,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1.3,9.6,6.4,2.5,3430,3696,142,0,0,575,4192,13,585,858,160,936,0,267,251,1669,444,37,14,529,1111,5123,1229,1595,311,329,9,224,4,21,179,866,394,114,35,60,46,112,88,1,26,26,27,123,0,0,9,3191,90,1425,1,53,392,686,757,249,39,31,40,106,237,139,440,1214,169,110,0,0,0,237,2082.9,872.8
La Cisterna,103157,91,16.6,22,25.3,21.8,14.3,44.8,86.2,4.1,13.5,4,14.2,11.2,6.1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.3,10.2,8.1,2.9,3360,22906,0,754,0,2137,13123,0,1243,8011,60,2679,0,276,261,4241,1281,200,45,1438,1998,9071,9415,5969,1469,42,2,925,10,33,588,2589,753,316,152,111,169,363,278,1,114,141,101,490,0,0,27,199,13,4039,25,71,5061,3923,1274,864,1972,82,128,1067,2990,1459,2483,575,405,1086,0,0,206,238,3983.2,644.0
La Florida,374836,90.9,15.7,20.8,23.2,24.1,16.2,46.8,103.4,3.5,13.2,6,7.7,4.5,6.9,0,1,1,0,0,0,0,0,0,0,0,0,9,0,11,0,0,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,8,0,0,0,0,0,0,1.1,8.6,6.9,6,10581,52545,6790,0,0,6569,40600,109,3836,17334,1304,1510,27,280,266,13682,3100,372,122,4488,6690,26090,16202,25088,8513,136,13,1745,37,84,2013,6916,2327,1027,537,615,598,1502,1083,2,422,701,248,1675,0,0,83,386,20,3017,102,177,10954,16179,2980,4400,2483,1426,550,3374,17333,918,7507,7145,326,2933,0,0,373,383,2201.3,475.1
La Granja,112022,95.6,17,21.2,21,24.5,16.3,49.9,96.3,6.0,22.3,6.4,6.1,7.1,10.2,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1.2,8.5,7.5,6.8,0,14933,0,0,4687,2113,11472,119,1843,2923,769,629,0,273,261,3168,706,82,16,862,1351,3762,3224,2154,3680,16,3,735,5,13,436,2000,595,209,43,25,48,152,155,3,50,38,42,253,0,1,12,35,26,2160,11,52,1733,2710,769,99,44,10,101,224,422,4200,1160,54,282,79,0,0,0,237,3273.5,711.5
Lampa,145160,99.3,24.2,21.3,27.3,20.5,6.7,44.6,27.8,4.9,25.6,6.4,9.1,20.1,8.9,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.6,13.7,4.3,7,6562,17045,1614,0,0,2584,14842,104,2121,4378,585,544,0,273,262,5310,1565,353,218,1729,4111,9809,8389,41743,1113,304,30,979,12,83,754,3253,1308,408,136,177,229,360,450,2,104,87,84,401,0,0,14,1399,315,14716,245,1296,7935,13212,4314,6384,315,110,1149,757,8344,199,3613,530,132,194,0,0,6,358,2357.5,625.0
La Pintana,175421,94.5,20.4,22.9,21.1,22.8,12.7,49.4,62.4,9.3,27.0,12.2,3.2,5.2,12.9,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1.3,10.1,6.1,3.7,4926,28793,0,0,0,3366,19537,130,2374,4535,939,3146,100,265,253,4123,1000,159,37,1125,2707,7705,5141,4126,4878,44,3,886,7,55,836,2742,802,225,55,32,75,124,161,1,63,39,32,258,0,0,4,741,72,5109,28,553,4360,3339,1825,129,109,8,89,146,676,3188,3303,350,74,458,0,0,0,223,2941.1,643.5
La Reina,89870,88.8,16.3,19.1,20.2,26.5,17.9,52,109.8,1.6,4.9,4.6,6.3,5.0,5.1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0.9,6.2,7.9,6.4,3471,6585,12536,0,0,2789,13719,0,595,5448,106,189,0,296,286,4742,1778,265,97,1804,2204,8702,9242,18105,1602,99,22,494,8,17,446,1805,375,317,286,789,556,1093,469,5,189,825,140,725,0,0,26,180,223,2154,12,160,3871,4776,831,1960,3640,289,814,2399,8443,2111,3621,1052,637,2636,0,0,46,485,1487.7,403.2
