codigo_comuna,nombre_comuna,n_registros,pct_casa,pct_departamento,pct_casa_depto,pct_vivienda_precaria,pct_paredes_solidas,pct_techo_solido,pct_piso_bueno,pct_agua_red_publica,pct_wc_bueno,pct_cocina_moderna,pct_propia_total,pct_arrendada,ingreso_promedio,ingreso_mediana,indice_calidad_materiales,indice_servicios_basicos,indice_calidad_vivienda_general
13101,Santiago,1793,0.78,2.79,3.57,75.46,87.62,96.04,95.37,68.93,73.73,94.7,18.96,0.11,791945.92,600000.0,93.01,79.12,58.57
13102,Cerrillos,401,28.93,40.4,69.33,18.45,83.79,95.51,95.26,71.07,36.91,87.28,51.37,3.74,528548.1,450000.0,91.52,65.09,75.31
13103,Cerro Navia,555,39.28,26.13,65.41,7.03,78.02,97.48,89.01,68.65,11.89,94.41,61.98,1.98,446483.01,400000.0,88.17,58.32,70.63
13104,Conchalí,560,15.89,56.96,72.86,17.32,78.75,84.11,93.04,41.61,16.25,76.79,46.96,0.36,456803.06,400000.0,85.3,44.88,67.68
13105,El Bosque,810,19.26,47.28,66.54,15.8,85.43,96.3,93.83,76.79,14.69,94.07,57.78,0.99,395604.34,350000.0,91.85,61.85,73.42
13106,Estación Central,902,4.88,24.5,29.38,42.68,90.47,96.67,91.57,74.06,46.34,91.13,41.57,0.67,544285.52,436750.0,92.9,70.51,64.26
13107,Huechuraba,552,45.11,30.98,76.09,13.77,77.54,91.67,90.22,61.78,32.43,89.86,64.31,0.0,720051.66,402500.0,86.47,61.35,74.64
13108,Independencia,532,5.08,6.2,11.28,57.71,92.67,96.8,96.8,65.6,65.41,95.68,24.06,2.26,521149.92,450000.0,95.43,75.56,60.76
13109,La Cisterna,449,36.97,24.94,61.92,28.06,83.3,92.2,96.21,59.47,44.1,89.76,41.65,2.45,635863.9,481958.5,90.57,64.44,72.31
13110,La Florida,1943,22.13,36.44,58.57,19.61,88.99,95.11,93.15,73.19,41.59,90.68,57.08,1.18,652074.18,457832.0,92.42,68.49,73.16
13111,La Granja,508,28.15,53.15,81.3,11.81,83.07,76.77,85.83,47.83,14.96,68.5,50.0,2.17,394645.51,397639.0,81.89,43.77,68.99
13112,La Pintana,999,13.61,40.54,54.15,16.62,90.99,95.9,85.39,54.35,5.01,88.79,67.27,0.8,336160.62,300000.0,90.76,49.38,64.76
13113,La Reina,568,50.53,27.64,78.17,10.56,93.66,99.82,95.95,91.9,59.33,97.89,64.08,0.18,1405329.49,800000.0,96.48,83.04,85.9
13114,Las Condes,1620,25.93,16.67,42.59,56.54,98.64,98.7,96.48,91.05,88.15,98.33,56.67,0.49,1806493.23,1050000.0,97.94,92.51,77.68
13115,Lo Barnechea,677,54.95,17.58,72.53,19.05,89.36,97.93,98.23,83.31,60.56,98.38,68.09,0.3,1569078.92,547083.0,95.17,80.75,82.82
13116,Lo Espejo,450,12.89,34.22,47.11,20.22,87.78,85.78,92.67,52.0,13.33,73.56,58.22,0.0,394020.4,381108.5,88.74,46.3,60.72
13117,Lo Prado,421,14.01,32.3,46.32,32.54,80.76,94.77,90.26,74.58,19.0,91.45,51.07,3.8,428363.83,418597.0,88.6,61.68,65.53
13118,Macul,592,15.2,38.18,53.38,30.41,96.11,97.8,93.41,67.91,39.19,96.96,48.31,2.53,747394.63,500000.0,95.78,68.02,72.39
13119,Maipú,2625,11.54,58.78,70.32,13.37,93.33,97.3,94.1,76.69,38.93,92.76,70.4,0.8,601743.03,450000.0,94.91,69.46,78.23
13120,Ñuñoa,1195,10.46,16.15,26.61,63.35,97.82,99.08,98.58,83.68,74.64,97.91,52.55,1.34,1418950.79,1000000.0,98.49,85.41,70.17
13121,Pedro Aguirre Cerda,555,25.41,40.18,65.59,12.79,90.27,96.94,92.43,66.13,21.44,87.93,43.06,1.98,481110.91,405000.0,93.21,58.5,72.43
13122,Peñalolén,1189,29.86,39.11,68.97,15.56,80.66,93.86,92.01,69.05,37.09,92.18,67.28,4.46,688929.75,425370.0,88.84,66.11,74.64
13123,Providencia,1028,7.98,4.18,12.16,82.49,99.12,98.74,96.4,93.0,92.32,99.03,42.22,4.09,1988449.92,1492500.0,98.09,94.78,68.34
13124,Pudahuel,1299,16.94,43.26,60.2,19.17,85.68,96.54,93.38,71.36,28.02,92.07,67.13,0.92,544282.12,450000.0,91.87,63.82,71.96
13125,Quilicura,1051,11.7,50.71,62.42,28.45,92.2,97.05,95.05,59.18,48.62,93.53,61.08,0.38,549642.87,450000.0,94.77,67.11,74.76
13126,Quinta Normal,554,26.17,15.88,42.06,33.21,80.14,95.67,91.88,77.26,41.16,94.22,47.47,0.0,563165.86,473750.0,89.23,70.88,67.39
13127,Recoleta,864,26.04,26.39,52.43,17.71,80.67,96.76,89.0,73.03,26.39,90.16,43.52,2.2,565820.13,421667.0,88.81,63.19,68.15
13128,Renca,648,24.54,33.49,58.02,21.76,89.51,96.76,93.67,58.18,30.56,93.83,63.12,0.77,401652.49,368333.5,93.31,60.85,70.73
13129,San Joaquín,648,16.98,25.62,42.59,28.55,89.2,93.52,91.67,70.52,35.19,86.88,36.27,5.56,483267.61,400000.0,91.46,64.2,66.08
13130,San Miguel,586,23.38,12.12,35.49,48.63,86.18,96.59,96.76,74.57,64.68,94.03,42.66,2.05,904933.0,559166.5,93.17,77.76,68.81
13131,San Ramón,403,40.69,37.22,77.92,6.95,74.69,96.03,86.35,43.42,15.88,87.84,45.66,0.5,442364.93,393000.0,85.69,49.05,70.89
13132,Vitacura,657,40.18,7.15,47.34,52.05,98.17,100.0,99.24,97.56,90.11,98.63,56.01,0.91,2587577.69,1850000.0,99.14,95.43,80.64
13201,Puente Alto,2846,12.37,62.65,75.02,10.58,94.2,95.75,91.29,72.7,34.05,90.62,69.71,0.18,538232.86,400000.0,93.75,65.79,78.18
13202,Pirque,335,93.43,5.97,99.4,0.6,54.03,95.22,88.96,66.27,18.51,94.63,71.34,0.0,667137.42,421667.0,79.4,59.8,79.54
13203,San José de Maipo,264,96.21,3.41,99.62,0.0,27.65,87.5,85.98,56.06,10.61,87.12,33.71,3.03,503570.65,350760.5,67.05,51.26,72.64
13301,Colina,549,45.54,26.96,72.5,9.11,65.39,95.45,93.44,66.48,24.95,93.44,63.02,0.0,606708.62,400000.0,84.76,61.63,72.96
13302,Lampa,566,59.54,31.8,91.34,5.83,40.64,96.11,90.28,55.12,20.49,94.52,56.01,0.53,480885.02,411318.0,75.68,56.71,74.58
13303,Tiltil,157,87.9,5.73,93.63,0.0,25.48,95.54,84.08,69.43,4.46,98.73,45.86,0.0,375970.16,217085.5,68.37,57.54,73.18
13401,San Bernardo,1727,29.3,47.54,76.84,14.88,81.59,96.06,92.18,70.58,26.52,90.21,58.31,1.16,488733.18,400000.0,89.94,62.44,76.41
13402,Buin,602,56.15,36.38,92.52,0.33,65.95,96.01,92.03,68.6,21.76,94.68,58.31,0.0,512481.5,400000.0,84.66,61.68,79.62
13403,Calera de Tango,275,73.82,22.55,96.36,0.0,51.27,95.64,88.73,64.73,13.82,97.09,69.82,2.55,489637.93,393000.0,78.55,58.55,77.82
13404,Paine,456,60.96,36.84,97.81,0.0,56.8,95.18,93.86,83.33,9.43,96.93,65.13,0.88,503654.22,380000.0,81.94,63.23,80.99
13501,Melipilla,580,51.72,30.86,82.59,12.59,55.0,95.69,93.1,76.21,20.86,92.24,53.45,0.52,497911.08,380000.0,81.26,63.1,75.65
13502,Alhué,171,97.66,2.34,100.0,0.0,25.73,100.0,81.87,85.96,7.02,98.83,66.08,0.0,493809.26,330861.0,69.2,63.94,77.71
13503,Curacaví,289,62.63,27.34,89.97,0.0,53.29,92.04,88.58,69.55,7.96,93.77,73.36,0.35,460292.31,380000.0,77.97,57.09,75.01
13504,María Pinto,197,89.34,10.66,100.0,0.0,33.5,87.31,75.13,63.96,6.6,84.26,64.47,0.0,426579.37,326627.0,65.31,51.61,72.31
13505,San Pedro,103,95.15,4.85,100.0,0.0,19.42,98.06,79.61,83.5,3.88,98.06,59.22,0.0,575548.85,209778.0,65.7,61.81,75.84
13601,Talagante,413,38.98,47.94,86.92,10.9,71.67,97.58,89.1,81.36,24.21,96.61,64.16,2.91,505981.72,400000.0,86.12,67.39,80.15
13602,El Monte,240,75.42,15.0,90.42,4.58,41.25,96.67,87.92,75.83,18.33,90.42,77.5,0.83,348603.37,325000.0,75.28,61.53,75.74
13603,Isla de Maipo,290,69.31,26.21,95.52,0.0,40.34,91.72,81.03,75.17,13.79,95.86,52.07,0.0,510215.48,400000.0,71.03,61.61,76.05
13604,Padre Hurtado,447,64.21,31.54,95.75,0.45,58.17,97.09,96.64,81.21,27.07,93.06,75.39,1.79,558543.98,400000.0,83.97,67.11,82.28
13605,Peñaflor,533,59.47,25.89,85.37,10.88,66.79,94.75,90.99,72.05,25.7,89.12,65.85,0.19,591753.35,400000.0,84.18,62.29,77.28
